Pin name;WLCSP156;UFBGA169;LQFP176;LQFP208;TFBGA240+25;Pin type;I/O structure;AF0;AF1;AF2;AF3;AF4;AF5;AF6;AF7;AF8;AF9;AF10;AF11;AF12;AF13;AF14;AF15;Alternate functions;Additional functions;Footnotes;Remarks
PF9;;H3;29;33;L4;I/O;FT_ha;;TIM17_CH1N;;;;SPI5_MOSI;SAI1_FS_B;UART7_CTS;SAI4_FS_B;TIM14_CH1;QUADSPI_BK1_IO1;;;;;EVENTOUT;TIM17_CH1N, SPI5_MOSI, SAI1_FS_B, UART7_CTS, SAI4_FS_B, TIM14_CH1, QUADSPI_BK1_IO1, EVENTOUT;ADC3_INP2;;
PF10;;H4;30;34;L3;I/O;FT_ha;;TIM16_BKIN;SAI1_D3;;;;;;;QUADSPI_CLK;SAI4_D3;;;DCMI_D11;LCD_DE;EVENTOUT;TIM16_BKIN, SAI1_D3, QUADSPI_CLK, SAI4_D3, DCMI_D11, LCD_DE, EVENTOUT;ADC3_INN2, ADC3_INP6;;
PH0-OSC_IN(PH0);H12;J2;31;35;J2;I/O;FT;;;;;;;;;;;;;;;;EVENTOUT;EVENTOUT;OSC_IN;;
PH1-OSC_OUT(PH1);H13;J1;32;36;J1;I/O;FT;;;;;;;;;;;;;;;;EVENTOUT;EVENTOUT;OSC_OUT;;
NRST;H11;H5;33;37;K1;I/O;RST;;;;;;;;;;;;;;;;;;;;
PC0;G11;J4;34;38;L2;I/O;FT_a;;;;DFSDM1_CKIN0;;;DFSDM1_DATIN4;;SAI2_FS_B;;OTG_HS_ULPI_STP;;FMC_SDNWE;;LCD_R5;EVENTOUT;DFSDM1_CKIN0, DFSDM1_DATIN4, SAI2_FS_B, OTG_HS_ULPI_STP, FMC_SDNWE, LCD_R5, EVENTOUT;ADC123_INP10;;
PC1;G10;J3;35;39;M2;I/O;FT_ha;TRACED0;;SAI1_D1;DFSDM1_DATIN0;DFSDM1_CKIN4;SPI2_MOSI/I2S2_SDO;SAI1_SD_A;;SAI4_SD_A;SDMMC2_CK;SAI4_D1;ETH_MDC;MDIOS_MDC;;;EVENTOUT;TRACED0, SAI1_D1, DFSDM1_DATIN0, DFSDM1_CKIN4, SPI2_MOSI/I2S2_SDO, SAI1_SD_A, SAI4_SD_A, SDMMC2_CK, SAI4_D1, ETH_MDC, MDIOS_MDC, EVENTOUT;ADC123_INN10, ADC123_INP11, RTC_TAMP3/WKUP6;;
PC2;;;;;M3;I/O;FT_a;C1DSLEEP;;;DFSDM1_CKIN1;;SPI2_MISO/I2S2_SDI;DFSDM1_CKOUT;;;;OTG_HS_ULPI_DIR;ETH_MII_TXD2;FMC_SDNE0;;;EVENTOUT;C1DSLEEP, DFSDM1_CKIN1, SPI2_MISO/I2S2_SDI, DFSDM1_CKOUT, OTG_HS_ULPI_DIR, ETH_MII_TXD2, FMC_SDNE0, EVENTOUT;ADC123_INN11, ADC123_INP12;2: Pxy_C and Pxy pins/balls are two separate pads (analog switch open). The analog switch is configured through a SYSCFG register. Refer to the product reference manual for a detailed description of the switch configuration bits.;
PC2_C;K13;K1;36;40;R1;ANA;TT_a;;;;;;;;;;;;;;;;;;ADC3_INN1, ADC3_INP0;1: When this pin/ball was previously configured as an oscillator, the oscillator function is kept during and after a reset. This is valid for all resets except for power-on reset. | 3: There is a direct path between Pxy_C and Pxy pins/balls, through an analog switch. Pxy alternate functions are available on Pxy_C when the analog switch is closed. The analog switch is configured through a SYSCFG register. Refer to the product reference manual for a detailed description of the switch configuration bits.;
PC3;;;;;M4;I/O;FT_a;C1SLEEP;;;DFSDM1_DATIN1;;SPI2_MOSI/I2S2_SDO;;;;;OTG_HS_ULPI_NXT;ETH_MII_TX_CLK;FMC_SDCKE0;;;EVENTOUT;C1SLEEP, DFSDM1_DATIN1, SPI2_MOSI/I2S2_SDO, OTG_HS_ULPI_NXT, ETH_MII_TX_CLK, FMC_SDCKE0, EVENTOUT;ADC12_INN12, ADC12_INP13;1: When this pin/ball was previously configured as an oscillator, the oscillator function is kept during and after a reset. This is valid for all resets except for power-on reset.;
PC3_C;K12;K2;37;41;R2;ANA;TT_a;;;;;;;;;;;;;;;;;;ADC3_INP1;1: When this pin/ball was previously configured as an oscillator, the oscillator function is kept during and after a reset. This is valid for all resets except for power-on reset. | 3: There is a direct path between Pxy_C and Pxy pins/balls, through an analog switch. Pxy alternate functions are available on Pxy_C when the analog switch is closed. The analog switch is configured through a SYSCFG register. Refer to the product reference manual for a detailed description of the switch configuration bits.;
VDD;;M2;;;E11;S;;;;;;;;;;;;;;;;;;;;;
VSS;;C12;;;C13;S;;;;;;;;;;;;;;;;;;;;;
VSSA;J13;;38;42;P1;S;;;;;;;;;;;;;;;;;;;;;
VREF-;;L1;;;N1;S;;;;;;;;;;;;;;;;;;;;;
VREF+;J12;M1;39;43;M1;S;;;;;;;;;;;;;;;;;;;;;
VDDA;J11;L2;40;44;L1;S;;;;;;;;;;;;;;;;;;;;;
PA0;L13;K3;41;45;N5;I/O;FT_a;;TIM2_CH1/TIM2_ETR;TIM5_CH1;TIM8_ETR;TIM15_BKIN;;;USART2_CTS/USART2_NSS;UART4_TX;SDMMC2_CMD;SAI2_SD_B;ETH_MII_CRS;;;;EVENTOUT;TIM2_CH1/TIM2_ETR, TIM5_CH1, TIM8_ETR, TIM15_BKIN, USART2_CTS/USART2_NSS, UART4_TX, SDMMC2_CMD, SAI2_SD_B, ETH_MII_CRS, EVENTOUT;ADC1_INP16, WKUP1;1: When this pin/ball was previously configured as an oscillator, the oscillator function is kept during and after a reset. This is valid for all resets except for power-on reset.;
PA0_C;;;;;T1;ANA;TT_a;;;;;;;;;;;;;;;;;;ADC12_INN1, ADC12_INP0;1: When this pin/ball was previously configured as an oscillator, the oscillator function is kept during and after a reset. This is valid for all resets except for power-on reset.;
PA1;L12;L3;42;46;N4;I/O;FT_ha;;TIM2_CH2;TIM5_CH2;LPTIM3_OUT;TIM15_CH1N;;;USART2_RTS/USART2_DE;UART4_RX;QUADSPI_BK1_IO3;SAI2_MCLK_B;ETH_MII_RX_CLK/ETH_RMII_REF_CLK;;;LCD_R2;EVENTOUT;TIM2_CH2, TIM5_CH2, LPTIM3_OUT, TIM15_CH1N, USART2_RTS/USART2_DE, UART4_RX, QUADSPI_BK1_IO3, SAI2_MCLK_B, ETH_MII_RX_CLK/ETH_RMII_REF_CLK, LCD_R2, EVENTOUT;ADC1_INN16, ADC1_INP17;1: When this pin/ball was previously configured as an oscillator, the oscillator function is kept during and after a reset. This is valid for all resets except for power-on reset.;
PA1_C;;;;;T2;ANA;TT_a;;;;;;;;;;;;;;;;;;ADC12_INP1;1: When this pin/ball was previously configured as an oscillator, the oscillator function is kept during and after a reset. This is valid for all resets except for power-on reset.;
PA2;K11;M3;43;47;N3;I/O;FT_a;;TIM2_CH3;TIM5_CH3;LPTIM4_OUT;TIM15_CH1;;;USART2_TX;SAI2_SCK_B;;;ETH_MDIO;MDIOS_MDIO;;LCD_R1;EVENTOUT;TIM2_CH3, TIM5_CH3, LPTIM4_OUT, TIM15_CH1, USART2_TX, SAI2_SCK_B, ETH_MDIO, MDIOS_MDIO, LCD_R1, EVENTOUT;ADC12_INP14, WKUP2;;
PH2;;;;48;N2;I/O;FT_ha;;LPTIM1_IN2;;;;;;;;QUADSPI_BK2_IO0;SAI2_SCK_B;ETH_MII_CRS;FMC_SDCKE0;;LCD_R0;EVENTOUT;LPTIM1_IN2, QUADSPI_BK2_IO0, SAI2_SCK_B, ETH_MII_CRS, FMC_SDCKE0, LCD_R0, EVENTOUT;ADC3_INP13;;
VDD;;;44;49;F5;S;;;;;;;;;;;;;;;;;;;;;
VSS;;N1;45;50;C16;S;;;;;;;;;;;;;;;;;;;;;
PH3;;;;51;P2;I/O;FT_ha;;;;;;;;;;QUADSPI_BK2_IO1;SAI2_MCLK_B;ETH_MII_COL;FMC_SDNE0;;LCD_R1;EVENTOUT;QUADSPI_BK2_IO1, SAI2_MCLK_B, ETH_MII_COL, FMC_SDNE0, LCD_R1, EVENTOUT;ADC3_INN13, ADC3_INP14;;
PH4;;;;52;P3;I/O;FT_fa;;;;;I2C2_SCL;;;;;LCD_G5;OTG_HS_ULPI_NXT;;;;LCD_G4;EVENTOUT;I2C2_SCL, LCD_G5, OTG_HS_ULPI_NXT, LCD_G4, EVENTOUT;ADC3_INN14, ADC3_INP15;;
PH5;;;;53;P4;I/O;FT_fa;;;;;I2C2_SDA;SPI5_NSS;;;;;;;FMC_SDNWE;;;EVENTOUT;I2C2_SDA, SPI5_NSS, FMC_SDNWE, EVENTOUT;ADC3_INN15, ADC3_INP16;;
PA3;J10;N2;46;54;U2;I/O;FT_ha;;TIM2_CH4;TIM5_CH4;LPTIM5_OUT;TIM15_CH2;;;USART2_RX;;LCD_B2;OTG_HS_ULPI_D0;ETH_MII_COL;;;LCD_B5;EVENTOUT;TIM2_CH4, TIM5_CH4, LPTIM5_OUT, TIM15_CH2, USART2_RX, LCD_B2, OTG_HS_ULPI_D0, ETH_MII_COL, LCD_B5, EVENTOUT;ADC12_INP15;;
VSS;L11;;47;55;;S;;;;;;;;;;;;;;;;;;;;;
VDD;M12;;48;56;G5;S;;;;;;;;;;;;;;;;;;;;;
PA4;K10;N3;49;57;U3;I/O;TT_a;D1PWRE;;TIM5_ETR;;;SPI1_NSS/I2S1_WS;SPI3_NSS/I2S3_WS;USART2_CK;SPI6_NSS;;;;OTG_HS_SOF;DCMI_HSYNC;LCD_VSYNC;EVENTOUT;D1PWREN, TIM5_ETR, SPI1_NSS/I2S1_WS, SPI3_NSS/I2S3_WS, USART2_CK, SPI6_NSS, OTG_HS_SOF, DCMI_HSYNC, LCD_VSYNC, EVENTOUT;ADC12_INP18, DAC1_OUT1;;AF mismatch — only in Table 8 summary [D1PWREN], only in AF table [D1PWRE]
PA5;H10;J5;50;58;T3;I/O;TT_ha;D2PWRE;TIM2_CH1/TIM2_ETR;;TIM8_CH1N;;SPI1_SCK/I2S1_CK;;;SPI6_SCK;;OTG_HS_ULPI_CK;;;;LCD_R4;EVENTOUT;D2PWREN, TIM2_CH1/TIM2_ETR, TIM8_CH1N, SPI1_SCK/I2S1_CK, SPI6_SCK, OTG_HS_ULPI_CK, LCD_R4, EVENTOUT;ADC12_INN18, ADC12_INP19, DAC1_OUT2;;AF mismatch — only in Table 8 summary [D2PWREN], only in AF table [D2PWRE]
PA6;G9;M4;51;59;R3;I/O;FT_a;;TIM1_BKIN;TIM3_CH1;TIM8_BKIN;;SPI1_MISO/I2S1_SDI;;;SPI6_MISO;TIM13_CH1;TIM8_BKIN_COMP12;MDIOS_MDC;TIM1_BKIN_COMP12;DCMI_PIXCLK;LCD_G2;EVENTOUT;TIM1_BKIN, TIM3_CH1, TIM8_BKIN, SPI1_MISO/I2S1_SDI, SPI6_MISO, TIM13_CH1, TIM8_BKIN_COMP12, MDIOS_MDC, TIM1_BKIN_COMP12, DCMI_PIXCLK, LCD_G2, EVENTOUT;ADC12_INP3;;
PA7;J9;K4;52;60;R5;I/O;TT_a;;TIM1_CH1N;TIM3_CH2;TIM8_CH1N;;SPI1_MOSI/I2S1_SDO;;;SPI6_MOSI;TIM14_CH1;;ETH_MII_RX_DV/ETH_RMII_CRS_DV;FMC_SDNWE;;;EVENTOUT;TIM1_CH1N, TIM3_CH2, TIM8_CH1N, SPI1_MOSI/I2S1_SDO, SPI6_MOSI, TIM14_CH1, ETH_MII_RX_DV/ETH_RMII_CRS_DV, FMC_SDNWE, EVENTOUT;ADC12_INN3, ADC12_INP7, OPAMP1_VINM;;
PC4;M11;L4;53;61;T4;I/O;TT_a;C2DSLEEP;;;DFSDM1_CKIN2;;I2S1_MCK;;;;SPDIFRX1_IN3;;ETH_MII_RXD0/ETH_RMII_RXD0;FMC_SDNE0;;;EVENTOUT;C2DSLEEP, DFSDM1_CKIN2, I2S1_MCK, SPDIFRX1_IN3, ETH_MII_RXD0/ETH_RMII_RXD0, FMC_SDNE0, EVENTOUT;ADC12_INP4, OPAMP1_VOUT, COMP1_INM;;
PC5;L10;K5;54;62;U4;I/O;TT_a;C2SLEEP;;SAI1_D3;DFSDM1_DATIN2;;;;;;SPDIFRX1_IN4;SAI4_D3;ETH_MII_RXD1/ETH_RMII_RXD1;FMC_SDCKE0;COMP1_OUT;;EVENTOUT;C2SLEEP, SAI1_D3, DFSDM1_DATIN2, SPDIFRX1_IN4, SAI4_D3, ETH_MII_RXD1/ETH_RMII_RXD1, FMC_SDCKE0, COMP1_OUT, EVENTOUT;ADC12_INN4, ADC12_INP8, OPAMP1_VINM;;
VDD;;;;;G13;S;;;;;;;;;;;;;;;;;;;;;
VSS;;H2;;;R4;S;;;;;;;;;;;;;;;;;;;;;
PB0;K9;N4;55;63;U5;I/O;FT_a;;TIM1_CH2N;TIM3_CH3;TIM8_CH2N;;;DFSDM1_CKOUT;;UART4_CTS;LCD_R3;OTG_HS_ULPI_D1;ETH_MII_RXD2;;;LCD_G1;EVENTOUT;TIM1_CH2N, TIM3_CH3, TIM8_CH2N, DFSDM1_CKOUT, UART4_CTS, LCD_R3, OTG_HS_ULPI_D1, ETH_MII_RXD2, LCD_G1, EVENTOUT;ADC12_INN5, ADC12_INP9, OPAMP1_VINP, COMP1_INP;;
PB1;H9;H6;56;64;T5;I/O;TT_a;;TIM1_CH3N;TIM3_CH4;TIM8_CH3N;;;DFSDM1_DATIN1;;;LCD_R6;OTG_HS_ULPI_D2;ETH_MII_RXD3;;;LCD_G0;EVENTOUT;TIM1_CH3N, TIM3_CH4, TIM8_CH3N, DFSDM1_DATIN1, LCD_R6, OTG_HS_ULPI_D2, ETH_MII_RXD3, LCD_G0, EVENTOUT;ADC12_INP5, COMP1_INM;;
PB2;M10;L5;57;65;R6;I/O;FT_ha;RTC_OUT;;SAI1_D1;;DFSDM1_CKIN1;;SAI1_SD_A;SPI3_MOSI/I2S3_SDO;SAI4_SD_A;QUADSPI_CLK;SAI4_D1;;;;;EVENTOUT;RTC_OUT, SAI1_D1, DFSDM1_CKIN1, SAI1_SD_A, SPI3_MOSI/I2S3_SDO, SAI4_SD_A, QUADSPI_CLK, SAI4_D1, EVENTOUT;COMP1_INP;;
PI15;;;;66;P5;I/O;FT;;;;;;;;;;LCD_G2;;;;;LCD_R0;EVENTOUT;LCD_G2, LCD_R0, EVENTOUT;;;
PJ0;;;;;N6;I/O;FT;;;;;;;;;;LCD_R7;;;;;LCD_R1;EVENTOUT;LCD_R7, LCD_R1, EVENTOUT;;;
PJ1;;;;;P6;I/O;FT;;;;;;;;;;;;;;;LCD_R2;EVENTOUT;LCD_R2, EVENTOUT;;;
PJ2;;;;;T6;I/O;FT;;;;;;;;;;;;;;DSI_TE;LCD_R3;EVENTOUT;DSI_TE, LCD_R3, EVENTOUT;;;
PJ3;;;;;U6;I/O;FT;;;;;;;;;;;;;;;LCD_R4;EVENTOUT;LCD_R4, EVENTOUT;;;
PJ4;;;;;U7;I/O;FT;;;;;;;;;;;;;;;LCD_R5;EVENTOUT;LCD_R5, EVENTOUT;;;
PF11;F8;K6;58;67;T7;I/O;FT_a;;;;;;SPI5_MOSI;;;;;SAI2_SD_B;;FMC_SDNRAS;DCMI_D12;;EVENTOUT;SPI5_MOSI, SAI2_SD_B, FMC_SDNRAS, DCMI_D12, EVENTOUT;ADC1_INP2;;
PF12;G8;J6;59;68;R7;I/O;FT_ha;;;;;;;;;;;;;FMC_A6;;;EVENTOUT;FMC_A6, EVENTOUT;ADC1_INN2, ADC1_INP6;;
VSS;L9;;;;J3;S;;;;;;;;;;;;;;;;;;;;;
VDD;M9;;;;H5;S;;;;;;;;;;;;;;;;;;;;;
PF13;H8;M5;60;69;P7;I/O;FT_ha;;;;DFSDM1_DATIN6;I2C4_SMBA;;;;;;;;FMC_A7;;;EVENTOUT;DFSDM1_DATIN6, I2C4_SMBA, FMC_A7, EVENTOUT;ADC2_INP2;;
PF14;K8;N5;61;70;P8;I/O;FT_fha;;;;DFSDM1_CKIN6;I2C4_SCL;;;;;;;;FMC_A8;;;EVENTOUT;DFSDM1_CKIN6, I2C4_SCL, FMC_A8, EVENTOUT;ADC2_INN2, ADC2_INP6;;
PF15;J8;M7;62;71;R9;I/O;FT_fh;;;;;I2C4_SDA;;;;;;;;FMC_A9;;;EVENTOUT;I2C4_SDA, FMC_A9, EVENTOUT;;;
PG0;L8;L6;63;72;T8;I/O;FT_h;;;;;;;;;;;;;FMC_A10;;;EVENTOUT;FMC_A10, EVENTOUT;;;
VSS;;M9;64;73;J16;S;;;;;;;;;;;;;;;;;;;;;
VDD;;;65;74;H13;S;;;;;;;;;;;;;;;;;;;;;
PG1;M8;J7;66;75;U8;I/O;TT_h;;;;;;;;;;;;;FMC_A11;;;EVENTOUT;FMC_A11, EVENTOUT;OPAMP2_VINM;;
PE7;H7;K7;67;76;U9;I/O;TT_ha;;TIM1_ETR;;DFSDM1_DATIN2;;;;UART7_RX;;;QUADSPI_BK2_IO0;;FMC_D4/FMC_DA4;;;EVENTOUT;TIM1_ETR, DFSDM1_DATIN2, UART7_RX, QUADSPI_BK2_IO0, FMC_D4/FMC_DA4, EVENTOUT;OPAMP2_VOUT, COMP2_INM;;
PE8;J7;L8;68;77;T9;I/O;TT_ha;;TIM1_CH1N;;DFSDM1_CKIN2;;;;UART7_TX;;;QUADSPI_BK2_IO1;;FMC_D5/FMC_DA5;COMP2_OUT;;EVENTOUT;TIM1_CH1N, DFSDM1_CKIN2, UART7_TX, QUADSPI_BK2_IO1, FMC_D5/FMC_DA5, COMP2_OUT, EVENTOUT;OPAMP2_VINM;;
PE9;K7;N6;69;78;P9;I/O;TT_ha;;TIM1_CH1;;DFSDM1_CKOUT;;;;UART7_RTS/UART7_DE;;;QUADSPI_BK2_IO2;;FMC_D6/FMC_DA6;;;EVENTOUT;TIM1_CH1, DFSDM1_CKOUT, UART7_RTS/UART7_DE, QUADSPI_BK2_IO2, FMC_D6/FMC_DA6, EVENTOUT;OPAMP2_VINP, COMP2_INP;;
VSS;L7;M6;70;79;J17;S;;;;;;;;;;;;;;;;;;;;;
VDD;M7;;71;80;J13;S;;;;;;;;;;;;;;;;;;;;;
PE10;G7;L7;72;81;N9;I/O;FT_ha;;TIM1_CH2N;;DFSDM1_DATIN4;;;;UART7_CTS;;;QUADSPI_BK2_IO3;;FMC_D7/FMC_DA7;;;EVENTOUT;TIM1_CH2N, DFSDM1_DATIN4, UART7_CTS, QUADSPI_BK2_IO3, FMC_D7/FMC_DA7, EVENTOUT;COMP2_INM;;
PE11;G6;N7;73;82;P10;I/O;FT_ha;;TIM1_CH2;;DFSDM1_CKIN4;;SPI4_NSS;;;;;SAI2_SD_B;;FMC_D8/FMC_DA8;;LCD_G3;EVENTOUT;TIM1_CH2, DFSDM1_CKIN4, SPI4_NSS, SAI2_SD_B, FMC_D8/FMC_DA8, LCD_G3, EVENTOUT;COMP2_INP;;
PE12;J6;J8;74;83;R10;I/O;FT_h;;TIM1_CH3N;;DFSDM1_DATIN5;;SPI4_SCK;;;;;SAI2_SCK_B;;FMC_D9/FMC_DA9;COMP1_OUT;LCD_B4;EVENTOUT;TIM1_CH3N, DFSDM1_DATIN5, SPI4_SCK, SAI2_SCK_B, FMC_D9/FMC_DA9, COMP1_OUT, LCD_B4, EVENTOUT;;;
PE13;K6;H8;75;84;T10;I/O;FT_h;;TIM1_CH3;;DFSDM1_CKIN5;;SPI4_MISO;;;;;SAI2_FS_B;;FMC_D10/FMC_DA10;COMP2_OUT;LCD_DE;EVENTOUT;TIM1_CH3, DFSDM1_CKIN5, SPI4_MISO, SAI2_FS_B, FMC_D10/FMC_DA10, COMP2_OUT, LCD_DE, EVENTOUT;;;
VSS;;H2;;;T12;S;;;;;;;;;;;;;;;;;;;;;
VDD;;;;;K13;S;;;;;;;;;;;;;;;;;;;;;
