Pin name;LQFP144;UFBGA176+25;LQFP176;LQFP208;TFBGA240+25;Pin type;I/O structure;AF0;AF1;AF2;AF3;AF4;AF5;AF6;AF7;AF8;AF9;AF10;AF11;AF12;AF13;AF14;AF15;Alternate functions;Additional functions;Footnotes;Remarks
PA4;43;P5;49;57;U3;I/O;TT_a;D1PWREN;;TIM5_ETR;;;SPI1_NSS/I2S1_WS;SPI3_NSS/I2S3_WS;USART2_CK;SPI6_NSS;;;;OTG_HS_SOF;DCMI_HSYNC;LCD_VSYNC;EVENTOUT;D1PWREN, TIM5_ETR, SPI1_NSS/I2S1_WS, SPI3_NSS/I2S3_WS, USART2_CK, SPI6_NSS, OTG_HS_SOF, DCMI_HSYNC, LCD_VSYNC, EVENTOUT;ADC12_INP18, DAC1_OUT1;;
PA5;44;P6;50;58;T3;I/O;TT_ha;D2PWREN;TIM2_CH1/TIM2_ETR;;TIM8_CH1N;;SPI1_SCK/I2S1_CK;;;SPI6_SCK;;OTG_HS_ULPI_CK;;;;LCD_R4;EVENTOUT;D2PWREN, TIM2_CH1/TIM2_ETR, TIM8_CH1N, SPI1_SCK/I2S1_CK, SPI6_SCK, OTG_HS_ULPI_CK, LCD_R4, EVENTOUT;ADC12_INN18, ADC12_INP19, DAC1_OUT2;;
PA6;45;R7;51;59;R3;I/O;FT_a;;TIM1_BKIN;TIM3_CH1;TIM8_BKIN;;SPI1_MISO/I2S1_SDI;;;SPI6_MISO;TIM13_CH1;TIM8_BKIN_COMP12;MDIOS_MDC;TIM1_BKIN_COMP12;DCMI_PIXCLK;LCD_G2;EVENTOUT;TIM1_BKIN, TIM3_CH1, TIM8_BKIN, SPI1_MISO/I2S1_SDI, SPI6_MISO, TIM13_CH1, TIM8_BKIN_COMP12, MDIOS_MDC, TIM1_BKIN_COMP12, DCMI_PIXCLK, LCD_G2, EVENTOUT;ADC12_INP3;;
PA7;46;N6;52;60;R5;I/O;TT_a;;TIM1_CH1N;TIM3_CH2;TIM8_CH1N;;SPI1_MOSI/I2S1_SDO;;;SPI6_MOSI;TIM14_CH1;;ETH_MII_RX_DV/ETH_RMII_CRS_DV;FMC_SDNWE;;;EVENTOUT;TIM1_CH1N, TIM3_CH2, TIM8_CH1N, SPI1_MOSI/I2S1_SDO, SPI6_MOSI, TIM14_CH1, ETH_MII_RX_DV/ETH_RMII_CRS_DV, FMC_SDNWE, EVENTOUT;ADC12_INN3, ADC12_INP7, OPAMP1_VINM;;
PC4;47;R6;53;61;T4;I/O;TT_a;C2DSLEEP;;;DFSDM1_CKIN2;;I2S1_MCK;;;;SPDIFRX1_IN3;;ETH_MII_RXD0/ETH_RMII_RXD0;FMC_SDNE0;;;EVENTOUT;C2DSLEEP, DFSDM1_CKIN2, I2S1_MCK, SPDIFRX1_IN3, ETH_MII_RXD0/ETH_RMII_RXD0, FMC_SDNE0, EVENTOUT;ADC12_INP4, OPAMP1_VOUT, COMP1_INM;;
PC5;48;M7;54;62;U4;I/O;TT_a;C2SLEEP;;SAI1_D3;DFSDM1_DATIN2;;;;;;SPDIFRX1_IN4;SAI4_D3;ETH_MII_RXD1/ETH_RMII_RXD1;FMC_SDCKE0;COMP1_OUT;;EVENTOUT;C2SLEEP, SAI1_D3, DFSDM1_DATIN2, SPDIFRX1_IN4, SAI4_D3, ETH_MII_RXD1/ETH_RMII_RXD1, FMC_SDCKE0, COMP1_OUT, EVENTOUT;ADC12_INN4, ADC12_INP8, OPAMP1_VINM;;
VDD;;K4;;;G13;S;;;;;;;;;;;;;;;;;;;;;
VSS;;F9;;;R4;S;;;;;;;;;;;;;;;;;;;;;
PB0;49;R8;55;63;U5;I/O;FT_a;;TIM1_CH2N;TIM3_CH3;TIM8_CH2N;;;DFSDM1_CKOUT;;UART4_CTS;LCD_R3;OTG_HS_ULPI_D1;ETH_MII_RXD2;;;LCD_G1;EVENTOUT;TIM1_CH2N, TIM3_CH3, TIM8_CH2N, DFSDM1_CKOUT, UART4_CTS, LCD_R3, OTG_HS_ULPI_D1, ETH_MII_RXD2, LCD_G1, EVENTOUT;ADC12_INN5, ADC12_INP9, OPAMP1_VINP, COMP1_INP;;
PB1;50;M8;56;64;T5;I/O;TT_a;;TIM1_CH3N;TIM3_CH4;TIM8_CH3N;;;DFSDM1_DATIN1;;;LCD_R6;OTG_HS_ULPI_D2;ETH_MII_RXD3;;;LCD_G0;EVENTOUT;TIM1_CH3N, TIM3_CH4, TIM8_CH3N, DFSDM1_DATIN1, LCD_R6, OTG_HS_ULPI_D2, ETH_MII_RXD3, LCD_G0, EVENTOUT;ADC12_INP5, COMP1_INM;;
